entry_id,author,date,content,label
11186873,awen,07.09.2007 17:03,"canlı bir sehirdir istanbul.gece hayatı,gezmesi tozması,trafigi manasında demiyorum.canlıdır kendine has bir canı bir ruhu bir karakteri vardır. icinde tasıdıgı milyonlara sanki uzaktan bakar da gülümser ve der ki:

ben neler gördüm,neler yasadım,ne fırtınalar koptu kalbimde
ssavaşların en büyüklerini de,aşkların en güzellerini de içimde taşıdım.
siz kendi derdinizde bir o yana bir bu yana koştururken
bogazıma karşı kimi zaman çayınızı yudumlayıp keyif yaparken
kimi zaman rakınızı şerefime kaldırırken ben hep sizi izledim.
en cok bana yazdıgınız siirlerinizi sevdim ve o guzel sarkılarınızı sokaklarımda gezerken soylediginiz
bir de eskilerde haremler vardı .. unutamam hic..
simdi yeni cariyeleriniz ellerine su dökemez..
ne padişahlar ne krallar geçti ömrümden.
her biri kendisini sahibim sandı.
kalbimin en guzel yerlerine kurdular saraylarını ve tahtlarını
ve hepsini bana bırakıp gittiler.
simdi sizler aynı telas icinde ""ey istanbul!"" diyorsunuz,
""kim daha büyük görecegiz bakalım!""
bense dinleyip gülümsüyorum uzaktan
""yeni efendim hosgeldin"" diyorum icimden
""hosgeldin şimdilik,bakalım senin ""istanbul romanı"" n nasıl son bulacak...""

guzel sehir istanbul..baska bir sehir istanbul..",positive
9578926,she cries,23.05.2006 08:36,duman'ın en sahane konser parçasıdır. bu şehir cigarayı çeker dizesi ikinci tekrarda bu şehir esrarı çeker'e dönmektedir ancak bu sadece (bkz: bazı) bar konserlerinde vukuu bulur. onun dışında'eee' çeker diye söylenmektedir.,positive
3158693,lecagot,29.07.2003 00:48,"tam bir kaltak tir istanbul, babamin deyisi ile:

""her sabah bakire uyanir, gece ise hesabini veremiyecegi gunahlarla uyur""",negative
1319865,callisto,31.05.2002 00:20 ~ 25.03.2006 15:56,kimi cevrelerde tarifi olanaksiz guzellikteki kadinlari tasvir etmede kullanilan guzellik belirteci. soyle ki: istanbul gibi kadin,positive
6552900,wenge,25.12.2004 21:21,"tutkulu bir sevgili.
onunla da onsuz da yaşayamazsınız.
ya da bir can dostun dediği gibi her an keşfedilmeyi bekleyen yeni bir yönü olan kadın gibi.",positive
3602020,roxane,20.11.2003 16:12,sanki şehrimde savaş yaşanıyor ve biz buna rağmen hayatlarımızı devam ettirmeye çabalıyoruz.,negative
10177805,jimi the kewl,20.10.2006 13:40,"ağrılı şehir.
http://www.youtube.com/watch?v=rzryuqab6ci (attila ilhan - istanbul ağrısı)",negative
8302490,atlantis,03.10.2005 07:49,"sakar bir cevher . geleni kucaklar, sonra da küstürür.
(bkz: cevher tokatı)",negative
5130078,meaculpa,24.07.2004 18:24,"bu sehri sevmek bi keyif, daha önce onu tanimaya firsat bulamamis bi sevdigine göstermek ayri keyif.. keyiften de öte bir cosku.. karmasik ruh halleri icerisinde neresinden baslasam nerde bitirsem diye haftalarca kafayi yorabilecegini sadece kendi favori yerlerini bile göstermenin 3 gününü alacagini bildigin; ayrica gezdirmekle hükümlü oldugun kisinin senin kalbindeki yerine göre elbette farkliliklar gösterecek bir rota cizmek sonra onu uygulamak; gittiginiz her yeni yer hakkinda tarihsel ve güncel bilgiler aktarmak, onun yüzünde memnuniyet cizgileri yakalamaya calismak.. hepsi büyük keyifler.. ahhahhh...",positive
8066004,gabbiano,23.08.2005 15:47,"bir ziya osman saba siiri...

seni görüyorum yine istanbul,
gözlerimle kucaklar gibi, uzaktan.
minare minare, ev ev,
yol, meydan.

geliyor boğaziçi'nden doğru
bu iskeleden kalkan vapurun sesi,
mavi sular üstünde yine
bembeyaz kızkulesi.

bir yanda, serin sabahlarla beraber,
doğduğum kıyılar: beşiktaşım
baktıkça hep semt semt, yer yer,
beş yaşım, onbeş yaşım, ah yirmi yaşım!

durmuş bir tepende okuduğum mektep,
askerlik ettiğim kışladır ötesi.
bir gün, bir kızını benim eden
evlendirme dairesi.

benim de sayılmaz mı oralar?
elini tutar gibi iki yanımdan,
babamın yattığı küçüksu,
anamın toprağı eyüpsultan.

önümde, açık kollarıyla boğaz,
çengelköy'den aktarma rumelihisarı.
istanbul, istanbul'um benim,
kadıköy'ü üsküdar'ı...

gün olur, köprü ortasında durur,
anarım, adalarda çamların uykusunu.
gün olur, beyoğlu'nu özler içim,
koklamak isterim tünelin kokusunu.

bulut geçer üstünden,
gemi gelir yanaşır
bir eski türküdür, kulağıma fısıldar:
''içi dolu çamaşır''.

göğünde tanıdım ayın ondördünü.
kırlarında bilirim baharı,
her şey, içimde her şey,
istanbul yadigarı.

bir daha görüyorum seni dünya gözüyle,
göğün hep üstümde, havan ciğerlerimdedir.
ey doğup yaşadığım yerde her taşını
öpüp başımı koymak istediğim şehir!",positive
6151469,cybill,27.10.2004 13:24,(bkz: hastayım sana),positive
6794465,segovia,02.02.2005 07:50,"havaalinina dogru seyrederken sanki en guzel kiyafetini giymis bir kadin gibi ugurlamistir beni. gerdanina incilerini giymis, muthis bir mehtap la beni ozleyeceksin unutma demistir, yanagimdan gozyaslarim suzulmustur...bogazicini o gece hic gormedigim kadar buyuleyici gormusumdur...biliyordum zaten seninle aramizda ozel bir iliski oldugunu...sen ki kadikoy vapurlarinin kic guvertesinde seni her seyredisimde bana sarkilar soyleten bir kadinsin, sen ki beni mart sogugunda bogaz tepelerine, vapur guvertelerine tasiyan sehirsin...alti ay bir anda geciverdi iste...sana dokunmayi, iyotlu kokunu ve seyre doyulmaz guzelligini ozledim...yakinda geliyorum guzelim...bulusacagiz kismetse...",positive
11091067,krizkris,01.08.2007 23:02,gümüş renginin çok yakıştığı şehir.,positive
9831420,wassolldenndas,21.07.2006 23:25 ~ 23:30,"hep yenildiğim şehir. üç hafta sonra gene geliyorum ve bu sefer 1 - 0 öndeyim, puştun evladı!",negative
6548129,sarenalaja,24.12.2004 23:55,"bir garip atlı sefere gider
nalların sesi kulaklarda, rüzgarın sızısı dudaklarda, yalnızlığın acısı yüreklerde
arkada kalan bir güzel
arkada kalan bir rüya
bir destan,
tarihin kendisi
tüm zamanların en güzel kadını
nazı naz değil.......
işveli mi işveli..

bir garip atlı yollarda
kuru bir çölün ortasında
tuzlarını özler boğazın ve martılarını
bir de hanım hanımcık kokularını
tüm zamanların en güzel kokusu
özgürlüğün kokusu
aidiyetin kokusu

bir garip atlı kollarda
sıcak sıcacık
kalbinin kokusu ve sıcaklığı...
bilmediği yaban bir kadının
zarif ama garip
masum gibi
masum..
dünyanın en masum zamanı",positive
5872682,incarnate,27.09.2004 21:35 ~ 21:36,üsküdar'dan beşiktaş'a doğru geçerken güzelliğiyle beni her sabah uyandıran şehir.,positive
10838368,gxl,07.05.2007 23:48 ~ 23:49,"bir mayıs gecesi, bu entry'nin girildiği saatlerde, nispeten yüksek, normalde şehre göre 2-3 derece daha serin olan bir semtinde dahi termometrelerin 19 dereceyi göstermekte oldukları şehir. önümüzdeki yaz, ürkütüyor.",negative
9526779,pandoraninkutusu,11.05.2006 23:36,"davetsiz misafirlerin şehridir.kimseye gel demez,deme ihtiyacı hisssetmez belki de.yolların birgün kendisine çıkacağının farkındadır.'bir çay içip kalkacaktım' diyenlerin kenti olur ansızın.",positive
11047959,arista,19.07.2007 01:30 ~ 01:33,amerika’nın çok satan seyahat dergisi travel and leisure tarafından floransa ve roma dan sonra avrupanın en iyi üçüncü şehri seçilmiş.,positive
4546181,vicikvicik,02.06.2004 13:52,paris yaninda halt etmis dedirten rüya gibi bir kent,positive
7651431,arundati,07.06.2005 00:26,"istanbul ile ilgili istekler:
- bogaz koprusunde arabalarin gittigi kismin ustune yuruyus ve bisiklet yolu eklensin (bkz: brooklyn bridge)
- opera onur pasaji sanat galerisine donusturulsun (bkz: guggenheim)
- carpik yapilasmis semtler yikilip (bkz: oha diyorum) yerine devasa parklar yapilsin, en az bir adet asya bir adet de avrupa yakasi na olmak kaydiyla (bkz: hyde park) (bkz: central park)
- burunda tutmesi yasaklansin (bkz: sniff) (bkz: sniff)",positive
9990864,fiore,01.09.2006 18:08 ~ 18:08,"hayatınız boyunca uzak kalmadiginiz kadar uzak kaldiktan sonraki her geri donusunuzde sizi aynı sekilde trafigiyle karsilayan, devamli degisir gorunumunde ama aslinda hic de degismeyen sehir.",negative
10665812,purp,15.03.2007 07:20,"bu şehrin tarih i, tarih inin tarih boyunca nasıl tarih e gömüldüğü üzerinedir.",negative
10693559,ulku,24.03.2007 12:49,"zararlari bilindigi halde keyif alınması, vazgecilmez olması sebebiyle bir turlu bırakılamayan sigara gibi butceye bunyeye zarar sehir.
(bkz: iciyorsam sebebi var)",negative
6812530,hassan,06.02.2005 02:57,"bir kere daha göstermiştir ki, kar yağdığında daha bir dadindan yinmez şehre dönüşmektedir. beyaz çok yakışmaktadır kendisine.. çook..",positive
